Term,Type,Document_Frequency,Financial_Literacy,Reason
money need,Bigram,170,Regular,
payment miss,Bigram,170,Regular,
rat card,Bigram,170,Regular,
small home,Bigram,170,Regular,
store card,Bigram,170,Regular,
better financial,Bigram,169,Regular,
debit consolidation,Bigram,169,Regular,
different payment,Bigram,169,Regular,
hard worker,Bigram,169,Regular,
high school,Bigram,169,Regular,
history time,Bigram,169,Regular,
ill,Unigram,169,Regular,
lower overall,Bigram,169,Regular,
payment use,Bigram,169,Regular,
power,Unigram,169,Regular,
shorter time,Bigram,169,Regular,
streamline,Unigram,169,Regular,
work free,Bigram,169,Regular,
year miss,Bigram,169,Regular,
cover insurance,Bigram,168,Regular,
end sight,Bigram,168,Regular,
payment different,Bigram,168,Regular,
previous lend,Bigram,168,Regular,
rate offer,Bigram,168,Regular,
restructure,Unigram,168,Regular,
aid,Unigram,167,Regular,
convenient,Unigram,167,Regular,
depend,Unigram,167,Regular,
driveway,Unigram,167,Regular,
free cash,Bigram,167,Regular,
goal year,Bigram,167,Regular,
house add,Bigram,167,Regular,
money leave,Bigram,167,Regular,
need purchase,Bigram,167,Regular,
past month,Bigram,167,Regular,
raise rat,Bigram,167,Regular,
redo,Unigram,167,Regular,
seek consolidate,Bigram,167,Regular,
traditional,Unigram,167,Regular,
budget allow,Bigram,166,Regular,
collection,Unigram,166,Regular,
currently employ,Bigram,166,Regular,
goal credit,Bigram,166,Regular,
good investment,Bigram,166,Regular,
income month,Bigram,166,Regular,
november,Unigram,166,Regular,
thousand dollar,Bigram,166,Regular,
time good,Bigram,166,Regular,
tremendously,Unigram,166,Regular,
add note,Bigram,165,Regular,
appreciate thank,Bigram,165,Regular,
breathe room,Bigram,165,Regular,
card buy,Bigram,165,Regular,
card job,Bigram,165,Regular,
employment year,Bigram,165,Regular,
happy answer,Bigram,165,Regular,
kitchen bathroom,Bigram,165,Regular,
mark,Unigram,165,Regular,
money add,Bigram,165,Regular,
payment faster,Bigram,165,Regular,
store credit,Bigram,165,Regular,
variable,Unigram,165,Uncertain,"'ריבית משתנה' אפשרי, אך גם שם תואר כללי"
consolidate reduce,Bigram,164,Regular,
hole,Unigram,164,Regular,
nearly year,Bigram,164,Regular,
request credit,Bigram,164,Regular,
work history,Bigram,164,Regular,
balance add,Bigram,163,Regular,
close card,Bigram,163,Regular,
consolidation help,Bigram,163,Regular,
credit limit,Bigram,163,Regular,
fortune,Unigram,163,Regular,
impossible,Unigram,163,Regular,
info,Unigram,163,Regular,
like purchase,Bigram,163,Regular,
profile,Unigram,163,Regular,
rate lend,Bigram,163,Regular,
add pool,Bigram,162,Regular,
allow credit,Bigram,162,Regular,
card way,Bigram,162,Regular,
convert,Unigram,162,Regular,
cut card,Bigram,162,Regular,
just buy,Bigram,162,Regular,
mortgage car,Bigram,162,Regular,
timely payment,Bigram,162,Regular,
fair,Unigram,161,Regular,
home renovation,Bigram,161,Regular,
investor help,Bigram,161,Regular,
make just,Bigram,161,Regular,
time help,Bigram,161,Regular,
wipe,Unigram,161,Regular,
add attempt,Bigram,160,Regular,
card leave,Bigram,160,Regular,
certain,Unigram,160,Regular,
comfortably,Unigram,160,Regular,
relationship,Unigram,160,Regular,
tax return,Bigram,160,Regular,
time look,Bigram,160,Regular,
time need,Bigram,160,Regular,
weekend,Unigram,160,Regular,
balance lower,Bigram,159,Regular,
big bank,Bigram,159,Regular,
car note,Bigram,159,Regular,
card miss,Bigram,159,Regular,
cover cost,Bigram,159,Regular,
duty,Unigram,159,Regular,
extremely high,Bigram,159,Regular,
house payment,Bigram,159,Regular,
knock,Unigram,159,Regular,
save lot,Bigram,159,Regular,
tight,Unigram,159,Regular,
ultimately,Unigram,159,Regular,
work stable,Bigram,159,Regular,
younger,Unigram,159,Regular,
add tax,Bigram,158,Regular,
allow faster,Bigram,158,Regular,
clean credit,Bigram,158,Regular,
consolidate personal,Bigram,158,Regular,
money thank,Bigram,158,Regular,
prosper,Unigram,158,Regular,
second lend,Bigram,158,Regular,
yearly,Unigram,158,Regular,
automatically,Unigram,157,Regular,
bigger,Unigram,157,Regular,
commercial,Unigram,157,Regular,
consolidate free,Bigram,157,Regular,
consolodate,Unigram,157,Regular,
help faster,Bigram,157,Regular,
money saving,Bigram,157,Regular,
party,Unigram,157,Regular,
pull,Unigram,157,Regular,
add outstanding,Bigram,156,Regular,
concentrate,Unigram,156,Regular,
consider request,Bigram,156,Regular,
credit late,Bigram,156,Regular,
hesitate,Unigram,156,Regular,
job company,Bigram,156,Regular,
purpose credit,Bigram,156,Regular,
remodel home,Bigram,156,Regular,
sell house,Bigram,156,Regular,
sit,Unigram,156,Regular,
central,Unigram,155,Regular,
college graduate,Bigram,155,Regular,
lot credit,Bigram,155,Regular,
plan month,Bigram,155,Regular,
relatively,Unigram,155,Regular,
similar,Unigram,155,Regular,
sole,Unigram,155,Regular,
speak,Unigram,155,Regular,
try high,Bigram,155,Regular,
wasn,Unigram,155,Regular,
year free,Bigram,155,Regular,
year payment,Bigram,155,Regular,
apply consolidate,Bigram,154,Regular,
club year,Bigram,154,Regular,
end month,Bigram,154,Regular,
invest far,Bigram,154,Regular,
live home,Bigram,154,Regular,
payment close,Bigram,154,Regular,
property tax,Bigram,154,Regular,
sincerely,Unigram,154,Regular,
slate,Unigram,154,Regular,
work credit,Bigram,154,Regular,
year experience,Bigram,154,Regular,
bank credit,Bigram,153,Regular,
county,Unigram,153,Regular,
credit add,Bigram,153,Regular,
dad,Unigram,153,Regular,
mid,Unigram,153,Regular,
miscellaneous,Unigram,153,Regular,
new window,Bigram,153,Regular,
payment house,Bigram,153,Regular,
purchase car,Bigram,153,Regular,
versus,Unigram,153,Regular,
account lower,Bigram,152,Regular,
add receive,Bigram,152,Regular,
address,Unigram,152,Regular,
cancel credit,Bigram,152,Regular,
card accrue,Bigram,152,Regular,
eat,Unigram,152,Regular,
low payment,Bigram,152,Regular,
manageable monthly,Bigram,152,Regular,
month allow,Bigram,152,Regular,
officer,Unigram,152,Regular,
production,Unigram,152,Regular,
rate current,Bigram,152,Regular,
resolve,Unigram,152,Regular,
smaller payment,Bigram,152,Regular,
add daughter,Bigram,151,Regular,
close cost,Bigram,151,Regular,
club offer,Bigram,151,Regular,
correct,Unigram,151,Regular,
goal consolidate,Bigram,151,Regular,
investment property,Bigram,151,Regular,
job just,Bigram,151,Regular,
make mistake,Bigram,151,Regular,
payment total,Bigram,151,Regular,
plan make,Bigram,151,Regular,
resource,Unigram,151,Regular,
spend money,Bigram,151,Regular,
try make,Bigram,151,Regular,
use refinance,Bigram,151,Regular,
adult,Unigram,150,Regular,
card dept,Bigram,150,Regular,
card goal,Bigram,150,Regular,
consider fund,Bigram,150,Regular,
furnish,Unigram,150,Regular,
high payment,Bigram,150,Regular,
income monthly,Bigram,150,Regular,
need additional,Bigram,150,Regular,
register,Unigram,150,Regular,
repair car,Bigram,150,Regular,
add balance,Bigram,149,Regular,
add process,Bigram,149,Regular,
business add,Bigram,149,Regular,
center,Unigram,149,Regular,
corporation,Unigram,149,Regular,
home remodel,Bigram,149,Regular,
low risk,Bigram,149,Regular,
need cash,Bigram,149,Regular,
reduce overall,Bigram,149,Regular,
allow free,Bigram,148,Regular,
cable internet,Bigram,148,Regular,
chase credit,Bigram,148,Regular,
health insurance,Bigram,148,Regular,
home month,Bigram,148,Regular,
immediate,Unigram,148,Regular,
installation,Unigram,148,Regular,
interst,Unigram,148,Regular,
make possible,Bigram,148,Regular,
manage finance,Bigram,148,Regular,
monies,Unigram,148,Regular,
peer peer,Bigram,148,Regular,
ridiculous,Unigram,148,Regular,
unforeseen,Unigram,148,Regular,
add proceed,Bigram,147,Regular,
contribution,Unigram,147,Uncertain,'הפקדה לפנסיה' אפשרי אבל כללי מדי
die,Unigram,147,Regular,
field year,Bigram,147,Regular,
future thank,Bigram,147,Regular,
hurt,Unigram,147,Regular,
just year,Bigram,147,Regular,
month save,Bigram,147,Regular,
new floor,Bigram,147,Regular,
outstanding balance,Bigram,147,Regular,
payment need,Bigram,147,Regular,
payment new,Bigram,147,Regular,
rate consolidate,Bigram,147,Regular,
speed,Unigram,147,Regular,
time want,Bigram,147,Regular,
add borrow,Bigram,146,Regular,
card improve,Bigram,146,Regular,
club lower,Bigram,146,Regular,
confidence,Unigram,146,Regular,
consolidate smaller,Bigram,146,Regular,
daughter wed,Bigram,146,Regular,
february,Unigram,146,Regular,
know question,Bigram,146,Regular,
min payment,Bigram,146,Regular,
need fix,Bigram,146,Regular,
night,Unigram,146,Regular,
stable career,Bigram,146,Regular,
use remain,Bigram,146,Regular,
weekly,Unigram,146,Regular,
year great,Bigram,146,Regular,
agreement,Unigram,145,Regular,
begin save,Bigram,145,Regular,
buyer,Unigram,145,Regular,
close high,Bigram,145,Regular,
credit make,Bigram,145,Regular,
efficiently,Unigram,145,Regular,
forget,Unigram,145,Regular,
fuel,Unigram,145,Regular,
home owner,Bigram,145,Regular,
hurricane,Unigram,145,Regular,
insurance cover,Bigram,145,Regular,
need work,Bigram,145,Regular,
new furniture,Bigram,145,Regular,
payment end,Bigram,145,Regular,
rate want,Bigram,145,Regular,
rent car,Bigram,145,Regular,
try lower,Bigram,145,Regular,
unemployment,Unigram,145,Regular,
card expense,Bigram,144,Regular,
card lend,Bigram,144,Regular,
dig,Unigram,144,Regular,
fairly,Unigram,144,Regular,
fix term,Bigram,144,Regular,
graduation,Unigram,144,Regular,
look high,Bigram,144,Regular,
month plan,Bigram,144,Regular,
month work,Bigram,144,Regular,
save payment,Bigram,144,Regular,
stable position,Bigram,144,Regular,
add live,Bigram,143,Regular,
enter,Unigram,143,Regular,
financially stable,Bigram,143,Regular,
fund add,Bigram,143,Regular,
fund need,Bigram,143,Regular,
help high,Bigram,143,Regular,
like free,Bigram,143,Regular,
payback,Unigram,143,Regular,
tenure,Unigram,143,Regular,
treatment,Unigram,143,Regular,
year able,Bigram,143,Regular,
year start,Bigram,143,Regular,
add miss,Bigram,142,Regular,
assistant,Unigram,142,Regular,
buy use,Bigram,142,Regular,
excess,Unigram,142,Regular,
faster lower,Bigram,142,Regular,
help appreciate,Bigram,142,Regular,
hsbc,Unigram,142,Regular,
make thing,Bigram,142,Regular,
primary residence,Bigram,142,Regular,
relieve,Unigram,142,Regular,
substantially,Unigram,142,Regular,
thats,Unigram,142,Regular,
approval,Unigram,141,Regular,
card new,Bigram,141,Regular,
destroy,Unigram,141,Regular,
extra payment,Bigram,141,Regular,
kitchen remodel,Bigram,141,Regular,
maxed,Unigram,141,Regular,
payment fix,Bigram,141,Regular,
payment look,Bigram,141,Regular,
reward,Unigram,141,Regular,
social,Unigram,141,Regular,
boost,Unigram,140,Regular,
expansion,Unigram,140,Regular,
federal government,Bigram,140,Regular,
foundation,Unigram,140,Regular,
gainfully,Unigram,140,Regular,
goal thank,Bigram,140,Regular,
good payment,Bigram,140,Regular,
lend tree,Bigram,140,Regular,
live free,Bigram,140,Regular,
look like,Bigram,140,Regular,
look refinance,Bigram,140,Regular,
money monthly,Bigram,140,Regular,
money payment,Bigram,140,Regular,
network,Unigram,140,Regular,
payment great,Bigram,140,Regular,
payment problem,Bigram,140,Regular,
rat lower,Bigram,140,Regular,
rebuild credit,Bigram,140,Regular,
refuse,Unigram,140,Regular,
tub,Unigram,140,Regular,
want refinance,Bigram,140,Regular,
club credit,Bigram,139,Regular,
help reduce,Bigram,139,Regular,
intent,Unigram,139,Regular,
make great,Bigram,139,Regular,
make happen,Bigram,139,Regular,
rate faster,Bigram,139,Regular,
stable time,Bigram,139,Regular,
staff,Unigram,139,Regular,
total payment,Bigram,139,Regular,
card line,Bigram,138,Regular,
card little,Bigram,138,Regular,
commute,Unigram,138,Regular,
couldn,Unigram,138,Regular,
credit year,Bigram,138,Regular,
engine,Unigram,138,Regular,
exactly,Unigram,138,Regular,
game,Unigram,138,Regular,
like buy,Bigram,138,Regular,
live room,Bigram,138,Regular,
money time,Bigram,138,Regular,
proceed use,Bigram,138,Regular,
rat want,Bigram,138,Regular,
add complete,Bigram,137,Regular,
add cover,Bigram,137,Regular,
balance transfer,Bigram,137,Regular,
busy,Unigram,137,Regular,
card fund,Bigram,137,Regular,
charge credit,Bigram,137,Regular,
effect,Unigram,137,Regular,
god bless,Bigram,137,Regular,
good make,Bigram,137,Regular,
hello thank,Bigram,137,Regular,
home thank,Bigram,137,Regular,
hop consolidate,Bigram,137,Regular,
minimum month,Bigram,137,Regular,
pas away,Bigram,137,Regular,
sell home,Bigram,137,Regular,
transmission,Unigram,137,Regular,
win win,Bigram,137,Regular,
actual,Unigram,136,Regular,
approach,Unigram,136,Regular,
balance month,Bigram,136,Regular,
card finance,Bigram,136,Regular,
consolidate car,Bigram,136,Regular,
current rate,Bigram,136,Regular,
exterior,Unigram,136,Regular,
help start,Bigram,136,Regular,
honda,Unigram,136,Regular,
order consolidate,Bigram,136,Regular,
plan high,Bigram,136,Regular,
prevent,Unigram,136,Regular,
storm,Unigram,136,Regular,
throw,Unigram,136,Regular,
want close,Bigram,136,Regular,
water heater,Bigram,136,Regular,
wife work,Bigram,136,Regular,
accord,Unigram,135,Regular,
accumulate credit,Bigram,135,Regular,
add finance,Bigram,135,Regular,
add free,Bigram,135,Regular,
current rat,Bigram,135,Regular,
hardship,Unigram,135,Regular,
like rid,Bigram,135,Regular,
rat thank,Bigram,135,Regular,
rate time,Bigram,135,Regular,
repair house,Bigram,135,Regular,
say thank,Bigram,135,Regular,
statement,Unigram,135,Regular,
texas,Unigram,135,Regular,
able year,Bigram,134,Regular,
counter,Unigram,134,Regular,
couple high,Bigram,134,Regular,
flexibility,Unigram,134,Regular,
high account,Bigram,134,Regular,
interior,Unigram,134,Regular,
like start,Bigram,134,Regular,
look buy,Bigram,134,Regular,
month lower,Bigram,134,Regular,
shape,Unigram,134,Regular,
view,Unigram,134,Regular,
accident,Unigram,133,Regular,
add repair,Bigram,133,Regular,
balance like,Bigram,133,Regular,
balance monthly,Bigram,133,Regular,
balance payment,Bigram,133,Regular,
build saving,Bigram,133,Regular,
completion,Unigram,133,Regular,
effective,Unigram,133,Regular,
expense rent,Bigram,133,Regular,
headway,Unigram,133,Regular,
life easier,Bigram,133,Regular,
oil,Unigram,133,Regular,
payment mortgage,Bigram,133,Regular,
plan close,Bigram,133,Regular,
year come,Bigram,133,Regular,
accomplish goal,Bigram,132,Regular,
basic,Unigram,132,Regular,
best buy,Bigram,132,Regular,
consolidate better,Bigram,132,Regular,
consolidate payoff,Bigram,132,Regular,
easier payment,Bigram,132,Regular,
expense include,Bigram,132,Regular,
expense month,Bigram,132,Regular,
increase value,Bigram,132,Regular,
marriage,Unigram,132,Regular,
minimize,Unigram,132,Regular,
need add,Bigram,132,Regular,
open credit,Bigram,132,Regular,
payment half,Bigram,132,Regular,
rent month,Bigram,132,Regular,
self employ,Bigram,132,Regular,
spouse,Unigram,132,Regular,
surprise,Unigram,132,Regular,
thankful,Unigram,132,Regular,
total month,Bigram,132,Regular,
worthy,Unigram,132,Uncertain,'credit-worthy' אפשרי אבל מילה כללית מאוד ('worthy cause' וכו')
year excellent,Bigram,132,Regular,
advance help,Bigram,131,Regular,
card past,Bigram,131,Regular,
card quicker,Bigram,131,Regular,
card tax,Bigram,131,Regular,
concrete,Unigram,131,Regular,
corporate,Unigram,131,Regular,
easier make,Bigram,131,Regular,
gainfully employ,Bigram,131,Regular,
honor,Unigram,131,Regular,
instead different,Bigram,131,Regular,
know year,Bigram,131,Regular,
lifestyle,Unigram,131,Regular,
maintain good,Bigram,131,Regular,
month want,Bigram,131,Regular,
need lower,Bigram,131,Regular,
personal use,Bigram,131,Regular,
refinance add,Bigram,131,Regular,
refinance higher,Bigram,131,Regular,
school year,Bigram,131,Regular,
tax credit,Bigram,131,Regular,
time period,Bigram,131,Regular,
use make,Bigram,131,Regular,
want reduce,Bigram,131,Regular,
add college,Bigram,130,Regular,
consist,Unigram,130,Regular,
consolidate able,Bigram,130,Regular,
faster add,Bigram,130,Regular,
inside,Unigram,130,Regular,
main financial,Bigram,130,Regular,
new apartment,Bigram,130,Regular,
save dollar,Bigram,130,Regular,
size,Unigram,130,Regular,
small payment,Bigram,130,Regular,
account payment,Bigram,129,Regular,
best way,Bigram,129,Regular,
card build,Bigram,129,Regular,
concept,Unigram,129,Regular,
count,Unigram,129,Regular,
director,Unigram,129,Regular,
fix car,Bigram,129,Regular,
illness,Unigram,129,Regular,
instead payment,Bigram,129,Regular,
job add,Bigram,129,Regular,
job stability,Bigram,129,Regular,
mobile,Unigram,129,Regular,
month monthly,Bigram,129,Regular,
payoff date,Bigram,129,Regular,
plan purchase,Bigram,129,Regular,
rate able,Bigram,129,Regular,
reality,Unigram,129,Regular,
remodel bathroom,Bigram,129,Regular,
roof house,Bigram,129,Regular,
storage,Unigram,129,Regular,
use exist,Bigram,129,Regular,
work need,Bigram,129,Regular,
add past,Bigram,128,Regular,
ask thank,Bigram,128,Regular,
card rid,Bigram,128,Regular,
home like,Bigram,128,Regular,
like combine,Bigram,128,Regular,
monthly cash,Bigram,128,Regular,
need buy,Bigram,128,Regular,
plan buy,Bigram,128,Regular,
request consolidation,Bigram,128,Regular,
stable year,Bigram,128,Regular,
supplement,Unigram,128,Regular,
transition,Unigram,128,Regular,
add multiple,Bigram,127,Regular,
add total,Bigram,127,Regular,
credit car,Bigram,127,Regular,
difficulty,Unigram,127,Regular,
glad,Unigram,127,Regular,
home mortgage,Bigram,127,Regular,
layoff,Unigram,127,Regular,
monthly basis,Bigram,127,Regular,
monthy,Unigram,127,Regular,
need thank,Bigram,127,Regular,
payment budget,Bigram,127,Regular,
perform,Unigram,127,Regular,
rate fix,Bigram,127,Regular,
recover,Unigram,127,Regular,
semester,Unigram,127,Regular,
tie,Unigram,127,Regular,
yes,Unigram,127,Regular,
better manage,Bigram,126,Regular,
considerably,Unigram,126,Regular,
consolidate eliminate,Bigram,126,Regular,
face,Unigram,126,Regular,
fund far,Bigram,126,Regular,
fund request,Bigram,126,Regular,
independent,Unigram,126,Regular,
like borrow,Bigram,126,Regular,
lock,Unigram,126,Regular,
man,Unigram,126,Regular,
marry year,Bigram,126,Regular,
monthly minimum,Bigram,126,Regular,
need car,Bigram,126,Regular,
nyc,Unigram,126,Regular,
old credit,Bigram,126,Regular,
payment balance,Bigram,126,Regular,
personal add,Bigram,126,Regular,
san,Unigram,126,Regular,
card emergency,Bigram,125,Regular,
consolidate medical,Bigram,125,Regular,
credit miss,Bigram,125,Regular,
family emergency,Bigram,125,Regular,
help finance,Bigram,125,Regular,
month use,Bigram,125,Regular,
neighborhood,Unigram,125,Regular,
park,Unigram,125,Regular,
permanent,Unigram,125,Regular,
personally,Unigram,125,Regular,
specifically,Unigram,125,Regular,
time use,Bigram,125,Regular,
use buy,Bigram,125,Regular,
year college,Bigram,125,Regular,
add dear,Bigram,124,Regular,
beneficial,Unigram,124,Regular,
brand,Unigram,124,Regular,
card chase,Bigram,124,Regular,
card increase,Bigram,124,Regular,
club thank,Bigram,124,Regular,
everyday,Unigram,124,Regular,
girl,Unigram,124,Regular,
great way,Bigram,124,Regular,
improvement house,Bigram,124,Regular,
life thank,Bigram,124,Regular,
need start,Bigram,124,Regular,
payment manageable,Bigram,124,Regular,
porch,Unigram,124,Regular,
restore,Unigram,124,Regular,
rough,Unigram,124,Regular,
start work,Bigram,124,Regular,
strict,Unigram,124,Regular,
test,Unigram,124,Regular,
ticket,Unigram,124,Regular,
walk,Unigram,124,Regular,
year try,Bigram,124,Regular,
acre,Unigram,123,Regular,
add hard,Bigram,123,Regular,
automobile,Unigram,123,Regular,
car year,Bigram,123,Regular,
card quickly,Bigram,123,Regular,
complete home,Bigram,123,Regular,
consolidate balance,Bigram,123,Regular,
consolidation payment,Bigram,123,Regular,
credit consolidation,Bigram,123,Regular,
fortunate,Unigram,123,Regular,
fun,Unigram,123,Regular,
help tremendously,Bigram,123,Regular,
household expense,Bigram,123,Regular,
income year,Bigram,123,Regular,
join,Unigram,123,Regular,
just recently,Bigram,123,Regular,
life change,Bigram,123,Regular,
like help,Bigram,123,Regular,
medical issue,Bigram,123,Regular,
ownership,Unigram,123,Regular,
raise rate,Bigram,123,Regular,
trustworthy,Unigram,123,Regular,
account credit,Bigram,122,Regular,
add fix,Bigram,122,Regular,
balance year,Bigram,122,Regular,
cancel card,Bigram,122,Regular,
couple month,Bigram,122,Regular,
death,Unigram,122,Regular,
extra month,Bigram,122,Regular,
fashion,Unigram,122,Regular,
grade,Unigram,122,Regular,
help cover,Bigram,122,Regular,
importance,Unigram,122,Regular,
just purchase,Bigram,122,Regular,
need use,Bigram,122,Regular,
try save,Bigram,122,Regular,
utility phone,Bigram,122,Regular,
year home,Bigram,122,Regular,
barely,Unigram,121,Regular,
business need,Bigram,121,Regular,
business start,Bigram,121,Regular,
card end,Bigram,121,Regular,
card manageable,Bigram,121,Regular,
consolidate thank,Bigram,121,Regular,
consolidate year,Bigram,121,Regular,
control finance,Bigram,121,Regular,
future add,Bigram,121,Regular,
just finish,Bigram,121,Regular,
middle,Unigram,121,Regular,
need payoff,Bigram,121,Regular,
shoot,Unigram,121,Regular,
time early,Bigram,121,Regular,
use medical,Bigram,121,Regular,
washington,Unigram,121,Regular,
wont,Unigram,121,Regular,
account year,Bigram,120,Regular,
card school,Bigram,120,Regular,
current company,Bigram,120,Regular,
deserve,Unigram,120,Regular,
help daughter,Bigram,120,Regular,
help help,Bigram,120,Regular,
hour week,Bigram,120,Regular,
just credit,Bigram,120,Regular,
like close,Bigram,120,Regular,
make difficult,Bigram,120,Regular,
payment goal,Bigram,120,Regular,
payment try,Bigram,120,Regular,
pump,Unigram,120,Regular,
purchase vehicle,Bigram,120,Regular,
purpose consolidation,Bigram,120,Regular,
quite bite,Bigram,120,Regular,
refinance exist,Bigram,120,Regular,
repair add,Bigram,120,Regular,
safety,Unigram,120,Regular,
add little,Bigram,119,Regular,
awesome,Unigram,119,Regular,
challenge,Unigram,119,Regular,
consolidation want,Bigram,119,Regular,
ebay,Unigram,119,Regular,
educate,Unigram,119,Regular,
expense thank,Bigram,119,Regular,
fine,Unigram,119,Regular,
month car,Bigram,119,Regular,
negotiate,Unigram,119,Regular,
newer,Unigram,119,Regular,
use rest,Bigram,119,Regular,
work home,Bigram,119,Regular,
add bank,Bigram,118,Regular,
club add,Bigram,118,Regular,
consolidation allow,Bigram,118,Regular,
error,Unigram,118,Regular,
financially responsible,Bigram,118,Regular,
fund consolidation,Bigram,118,Regular,
locate,Unigram,118,Regular,
minor home,Bigram,118,Regular,
need cover,Bigram,118,Regular,
phone cable,Bigram,118,Regular,
reduce rat,Bigram,118,Regular,
roof home,Bigram,118,Regular,
start small,Bigram,118,Regular,
want eliminate,Bigram,118,Regular,
year recently,Bigram,118,Regular,
add kitchen,Bigram,117,Regular,
analyst,Unigram,117,Regular,
attention,Unigram,117,Regular,
come true,Bigram,117,Regular,
crazy,Unigram,117,Regular,
crisis,Unigram,117,Regular,
daughter college,Bigram,117,Regular,
disappoint,Unigram,117,Regular,
faster thank,Bigram,117,Regular,
fortune company,Bigram,117,Regular,
habit,Unigram,117,Regular,
hvac,Unigram,117,Regular,
life add,Bigram,117,Regular,
look way,Bigram,117,Regular,
monthly obligation,Bigram,117,Regular,
payment set,Bigram,117,Regular,
promptly,Unigram,117,Regular,
reasonable time,Bigram,117,Regular,
rely credit,Bigram,117,Regular,
time miss,Bigram,117,Regular,
use balance,Bigram,117,Regular,
use vehicle,Bigram,117,Regular,
year allow,Bigram,117,Regular,
add finally,Bigram,116,Regular,
add investor,Bigram,116,Regular,
consolidation like,Bigram,116,Regular,
district,Unigram,116,Regular,
expedite,Unigram,116,Regular,
gap,Unigram,116,Regular,
history credit,Bigram,116,Regular,
job extremely,Bigram,116,Regular,
large credit,Bigram,116,Regular,
lowest,Unigram,116,Regular,
make single,Bigram,116,Regular,
need rid,Bigram,116,Regular,
switch,Unigram,116,Regular,
year leave,Bigram,116,Regular,
background,Unigram,115,Regular,
bridge,Unigram,115,Regular,
card eliminate,Bigram,115,Regular,
card excellent,Bigram,115,Regular,
card feel,Bigram,115,Regular,
card great,Bigram,115,Regular,
card owe,Bigram,115,Regular,
environment,Unigram,115,Regular,
equity home,Bigram,115,Regular,
franchise,Unigram,115,Regular,
help wed,Bigram,115,Regular,
job income,Bigram,115,Regular,
longer use,Bigram,115,Regular,
relative,Unigram,115,Regular,
saw,Unigram,115,Regular,
stop use,Bigram,115,Regular,
vendor,Unigram,115,Regular,
want help,Bigram,115,Regular,
add husband,Bigram,114,Regular,
add love,Bigram,114,Regular,
add main,Bigram,114,Regular,
add recent,Bigram,114,Regular,
air condition,Bigram,114,Regular,
annually,Unigram,114,Regular,
bed,Unigram,114,Regular,
consolidate low,Bigram,114,Regular,
entirely,Unigram,114,Regular,
expand business,Bigram,114,Regular,
help lot,Bigram,114,Regular,
help people,Bigram,114,Regular,
look help,Bigram,114,Regular,
machine,Unigram,114,Regular,
month card,Bigram,114,Regular,
presently,Unigram,114,Regular,
produce,Unigram,114,Regular,
proud,Unigram,114,Regular,
save home,Bigram,114,Regular,
various credit,Bigram,114,Regular,
wouldn,Unigram,114,Regular,
absolutely,Unigram,113,Regular,
add addition,Bigram,113,Regular,
advance consideration,Bigram,113,Regular,
aggressively,Unigram,113,Regular,
attempt consolidate,Bigram,113,Regular,
balance use,Bigram,113,Regular,
capable,Unigram,113,Regular,
car need,Bigram,113,Regular,
card don,Bigram,113,Regular,
card live,Bigram,113,Regular,
club make,Bigram,113,Regular,
consolidation reduce,Bigram,113,Regular,
credit excellent,Bigram,113,Regular,
direction,Unigram,113,Regular,
employment history,Bigram,113,Regular,
engage,Unigram,113,Regular,
facility,Unigram,113,Regular,
money purchase,Bigram,113,Regular,
month job,Bigram,113,Regular,
outrageous,Unigram,113,Regular,
payment date,Bigram,113,Regular,
peer lend,Bigram,113,Regular,
plus year,Bigram,113,Regular,
satisfy,Unigram,113,Regular,
startup,Unigram,113,Regular,
add accumulate,Bigram,112,Regular,
add appreciate,Bigram,112,Regular,
add lot,Bigram,112,Regular,
alternative,Unigram,112,Regular,
build new,Bigram,112,Regular,
car car,Bigram,112,Regular,
card finally,Bigram,112,Regular,
commission,Unigram,112,Regular,
free life,Bigram,112,Regular,
just consolidate,Bigram,112,Regular,
key,Unigram,112,Regular,
length,Unigram,112,Regular,
letter,Unigram,112,Regular,
little money,Bigram,112,Regular,
make end,Bigram,112,Regular,
mortgage year,Bigram,112,Regular,
necessity,Unigram,112,Regular,
overwhelm,Unigram,112,Regular,
payoff exist,Bigram,112,Regular,
request fund,Bigram,112,Regular,
save house,Bigram,112,Regular,
seven year,Bigram,112,Regular,
thank assistance,Bigram,112,Regular,
total credit,Bigram,112,Regular,
try rid,Bigram,112,Regular,
year live,Bigram,112,Regular,
access,Unigram,111,Regular,
add assist,Bigram,111,Regular,
add save,Bigram,111,Regular,
america credit,Bigram,111,Regular,
bear,Unigram,111,Regular,
business plan,Bigram,111,Regular,
convenience,Unigram,111,Regular,
executive,Unigram,111,Regular,
int,Unigram,111,Regular,
lower total,Bigram,111,Regular,
make repair,Bigram,111,Regular,
month need,Bigram,111,Regular,
outright,Unigram,111,Regular,
rate month,Bigram,111,Regular,
repay credit,Bigram,111,Regular,
small balance,Bigram,111,Regular,
strictly,Unigram,111,Regular,
stuff,Unigram,111,Regular,
use saving,Bigram,111,Regular,
want higher,Bigram,111,Regular,
automatic payment,Bigram,110,Regular,
balance higher,Bigram,110,Regular,
consolidate home,Bigram,110,Regular,
employment stable,Bigram,110,Regular,
felt,Unigram,110,Regular,
hardwood,Unigram,110,Regular,
health care,Bigram,110,Regular,
help track,Bigram,110,Regular,
high revolve,Bigram,110,Regular,
high want,Bigram,110,Regular,
higher payment,Bigram,110,Regular,
